NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BEAVER DIVIDE, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BEN LOMOND PEAK, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BEN LOMOND TRAIL, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BENSON 1.0 SSW, UT US",,,,,,,,,,,,,,,,,,4.0,8.0,,,,,,,,,,,,
"BEVANS CABIN, UT US",,,,,,,,,,,,,,,,,,,,,3.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BIG FLAT, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BIG INDIAN VALLEY LASAL 6 S U, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BIG WATER, UT US",10.0,12.0,12.0,10.0,9.0,12.0,12.0,12.0,12.0,12.0,10.0,6.0,10.0,9.0,10.0,11.0,11.0,11.0,10.0,3.0,8.0,12.0,11.0,12.0,12.0,12.0,11.0,10.0,10.0,12.0,12.0
"BIRDSEYE, UT US",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK CEDAR FILMORE 5 E UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BLACK FLAT U.M. CK, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BLACK ROCK, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BLACKS FORK COMMISSARY, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"BLACKS FORK JCT, UT US",,,,,,,,,,,,,,,,,,,2.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BLACKTAIL UTAH, UT US",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BLANDING 0.3 WSW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0
"BLANDING 26 SSW, UT US",,,,,,,,,,,,,,,,,,,4.0,12.0,12.0,12.0,5.0,,,,,,,,
"BLANDING 3.9 ENE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,12.0
"BLANDING, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0
"BLOWHARD MOUNTAIN RADAR, UT US",12.0,12.0,12.0,10.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,9.0,10.0,11.0,3.0,,,,,,,,,,,,,,,,
"BLUFF 32 NW, UT US",,,,,,,,,,,,,,,,,,,4.0,12.0,12.0,12.0,5.0,,,,,,,,
"BLUFF, UT US",11.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"BONANZA, UT US",10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOTHWELL 0.9 ENE, UT US",,,,,,,,,,,,,,,,,,,,5.0,7.0,12.0,10.0,3.0,,6.0,,,,,
"BOTHWELL 2.6 WSW, UT US",,,,,,,,,,,,,,,,,,,,5.0,9.0,11.0,9.0,7.0,11.0,10.0,7.0,5.0,,,
