,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
275,KAMAS,60.44166667,56.78333333,60.76666667,59.63333333,61.56666667,59.275,60.71818182,60.31818182,61.50833333,57.32,58.23,64.37272727,58.84545455,61.24,61.275,61.55454545,62.36,60.81818182,59.54444444,55.34444444,60.81818182,58.80833333,59.12727273,62.79090909,59.29166667,59,59.88333333,56.63333333,60.06666667,60.20833333,58.13333333
276,KANAB,69.81666667,69.13333333,70.98333333,69.45833333,70.45833333,68.25,67.225,70.95,71.08333333,70.29166667,70.96666667,71.43333333,69.61666667,70.30833333,71.55,71.07272727,70.58333333,70.73333333,69.6,70.38181818,73.075,70.66666667,72.83333333,71.10833333,71.81666667,71.96363636,73.39166667,69.90833333,74.575,72.65454545,72.34166667
342,MANTI,61.75833333,58.81666667,62.15,62.1,62.89166667,60.59166667,60.81666667,63.375,63.15,61.89166667,59.31666667,60.20833333,58.45833333,63.575,60.61818182,61.91818182,59.125,61.29166667,60.84166667,57.5,59.625,56.89166667,62.95,63,60.89166667,63.64166667,63.45,60.58333333,63.9,63.775,62.175
401,NEPHI,67.35,61.80909091,67.45,66.9,66.75833333,63.1,63.98333333,69.00909091,65.84166667,64.18333333,64.13333333,66.55833333,64.35833333,63.42727273,59.01,64.74166667,62.28181818,61.225,61.4,60.23333333,65,60.25833333,63.91666667,64.375,63.48333333,64.06666667,63.9,62.175,66.15833333,63.28181818,63.93333333
471,PROVO_BYU,68.3,65.15,69.33333333,68.66666667,68.24166667,65.775,66.10833333,67.91666667,68.10833333,68.18333333,66.54166667,68.225,65.55833333,66.625,66.74166667,67.625,65.4,65.325,66.075,65.15833333,69.8,64.825,68.84166667,69.675,68.80833333,68.8,68.925,66.45,69.28333333,69.19166667,67.49166667
482,RICHMOND,62.64166667,58,64.15833333,62.6,62.79166667,61.03333333,61.28333333,63.26666667,63.5,60.6,60.3,64.15,60.78333333,60.32727273,60.925,62.21666667,59.34166667,57.07,58.80833333,58.01666667,64.28333333,58.98333333,62.03333333,63.2,61.39166667,60.33333333,61.30833333,57.64166667,61.125,62.45,59.65
509,SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,65.48333333,61.08333333,66.3,65.55,66.13333333,64.75,63.025,64.46666667,64.35833333,64.49166667,63.075,65.66666667,62.26666667,64.00833333,64.775,65.35,63.20833333,62.9,63.20833333,62.03333333,67.83333333,63.775,66.475,66.80833333,66.75,66.475,66.60833333,63.35,66.53333333,66.93333333,66.41666667
596,TOOELE,65.29166667,60.46666667,65.325,66.2,65.36,64.1,63.31666667,66.03333333,66.7,66.44166667,65.175,67.26666667,63.95,64.86666667,65.675,66.61666667,64.175,66.60909091,63.61666667,62.375,66.15833333,61.1,65.30833333,65.55,65.05,64.50833333,64.925,61.85833333,65.43333333,66.63333333,65.375
630,WANSHIP_DAM,65.35,60.52727273,61.61818182,61.86666667,62.55833333,60.36666667,59.95,62.5,62.50833333,63.77,62.00833333,63.225,63.74545455,62.66363636,62.45833333,64.40833333,61.025,60.44166667,60.98333333,59.86666667,64.83333333,61,61.65,62.2,61.075,61.61666667,61.36666667,57.675,61.89166667,62.26666667,62.23636364
652,WOODRUFF,56.35,50.925,56.63333333,55.48333333,55.69166667,53.075,54.30833333,57.14166667,56.36363636,55.925,54.41666667,57.09166667,54.00833333,53.45,55.1,59.15,54.175,53.02727273,55.69166667,52.04166667,59.35,55.425,57.75833333,58.90833333,56.91666667,56.325,57.38333333,52.25833333,59.01818182,60.1,57.10833333
656,ZION_NATIONAL_PARK,76.15833333,74.64166667,76.725,76.6,77.91666667,76.04166667,73.53333333,76.3,77.86666667,77.65,77.8,77.76666667,76.51666667,75.90833333,77.21666667,79.05,76.80833333,77.7,75.94545455,76.3,79.925,77.7,79.20833333,75.43333333,75.25,76.9,77.39166667,74.40833333,78.71666667,72.51,75.95833333
