NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"BEAVER DAMS, UT US",23.93,27.1,24.55,0.0,27.51,31.0,32.12,25.83,22.259999999999998,27.28,20.18,25.22,27.37,29.15,0.0,24.06,23.16,26.65,34.35,28.84,22.05,27.08,26.33,23.66,25.54,22.76,23.990000000000002,29.46,16.56,23.16,23.48
"BEAVER DIVIDE, UT US",24.15,30.85,25.72,0.0,36.94,29.419999999999998,29.740000000000002,28.68,26.94,21.84,21.259999999999998,23.42,26.43,32.230000000000004,0.0,21.54,24.82,29.25,36.76,31.87,23.94,23.44,32.07,20.759999999999998,28.64,31.48,21.74,32.45,19.55,30.869999999999997,26.259999999999998
"BEN LOMOND PEAK, UT US",41.54,67.56,52.65,0.0,77.49,53.53,77.09,49.55,59.66,51.07,43.68,48.269999999999996,60.27,79.03,0.0,44.05,55.45,67.86,67.03999999999999,61.269999999999996,50.45,32.54,52.260000000000005,41.45,61.22,62.46,39.98,73.17,32.58,48.480000000000004,45.980000000000004
"BEN LOMOND TRAIL, UT US",33.98,47.67,41.55,0.0,59.14,29.650000000000002,47.82,33.37,40.75,38.36,30.55,34.37,43.17,56.67,0.0,30.759999999999998,39.63,49.05,49.21,45.88,37.76,20.77,43.87,34.36,47.47,53.8,28.47,51.17,23.560000000000002,33.86,33.69
"BENSON 1.0 SSW, UT US",,,,,,,,,,,,,,,,,,3.66,12.85,,,,,,,,,,,,
"BEVANS CABIN, UT US",,,,,,,,,,,,,,,,,,,,,8.69,29.1,29.66,29.2,31.96,30.669999999999998,22.27,39.49,17.06,31.58,27.28
"BIG FLAT, UT US",30.36,33.44,30.04,0.0,36.94,41.45,44.24,28.66,32.26,31.01,19.55,30.130000000000003,32.13,38.72,0.0,28.93,30.64,31.33,48.230000000000004,32.06,30.55,32.14,26.95,34.46,33.71,31.44,33.05,46.660000000000004,17.07,39.57,25.79
"BIG INDIAN VALLEY LASAL 6 S U, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BIG WATER, UT US",10.25,9.01,5.01,0.0,5.59,7.1,6.5200000000000005,4.09,6.85,5.76,2.48,1.32,9.84,5.45,4.4,5.78,4.55,3.7199999999999998,9.05,1.19,2.8,10.35,1.8,10.02,7.949999999999999,6.54,7.68,8.98,0.51,4.9,7.28
"BIRDSEYE, UT US",2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK CEDAR FILMORE 5 E UTAH, UT US",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BLACK FLAT U.M. CK, UT US",20.93,20.77,18.84,0.0,22.73,26.51,27.2,20.35,20.66,18.28,13.78,17.85,22.15,21.77,0.0,18.74,19.88,18.35,26.54,25.34,19.25,20.43,22.84,22.56,19.74,22.57,21.26,23.86,13.06,26.28,14.86
"BLACK ROCK, UT US",7.199999999999999,11.03,11.9,4.1,7.6000000000000005,12.280000000000001,13.41,6.24,10.54,6.08,5.68,5.57,10.39,8.59,0.0,5.859999999999999,7.63,6.18,13.11,12.59,6.61,8.09,10.9,8.15,6.84,8.799999999999999,9.37,10.66,4.71,11.29,6.73
"BLACKS FORK COMMISSARY, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"BLACKS FORK JCT, UT US",,,,,,,,,,,,,,,,,,,6.79,31.86,18.55,20.75,26.26,20.55,23.66,24.26,16.36,24.18,16.94,22.64,24.06
"BLACKTAIL UTAH, UT US",,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BLANDING 0.3 WSW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,7.22
"BLANDING 26 SSW, UT US",,,,,,,,,,,,,,,,,,,3.33,3.83,5.78,7.84,1.21,,,,,,,,
"BLANDING 3.9 ENE, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,10.36
"BLANDING, UT US",15.33,17.68,14.690000000000001,26.5,12.44,20.07,14.23,9.91,14.790000000000001,12.39,7.89,12.48,15.39,15.33,22.0,13.29,16.9,11.35,16.810000000000002,9.67,8.18,13.52,9.1,19.96,10.47,7.09,8.51,13.530000000000001,5.73,10.73,8.43
"BLOWHARD MOUNTAIN RADAR, UT US",28.869999999999997,28.37,28.75,254.9,27.45,30.259999999999998,35.57,21.26,29.29,31.42,20.54,20.04,28.02,30.830000000000002,143.9,,,,,,,,,,,,,,,,
"BLUFF 32 NW, UT US",,,,,,,,,,,,,,,,,,,4.6,6.7,10.06,13.620000000000001,2.96,,,,,,,,
"BLUFF, UT US",10.17,10.77,5.7,1.0,6.22,9.48,4.69,6.36,7.4799999999999995,9.0,5.24,6.5600000000000005,8.879999999999999,7.44,4.8,7.57,7.4,3.29,9.19,4.66,6.47,9.1,4.68,15.5,8.19,4.25,4.9,7.7,3.73,5.66,8.04
"BONANZA, UT US",7.970000000000001,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOTHWELL 0.9 ENE, UT US",,,,,,,,,,,,,,,,,,,,4.22,6.05,10.370000000000001,12.71,6.08,,2.9,,,,,
