,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
270,"JENSEN, UT US",30.23333333,28.4,32.09166667,31.79166667,30.61666667,31.625,34.39166667,32.3,33.53333333,32.45833333,28.925,32.1,30.84166667,33.29166667,32.61666667,31.90909091,28.69166667,29.26363636,31.43333333,30.575,33.14166667,25.40909091,32.50909091,33.34545455,31.43333333,29.84545455,31.63333333,27.69166667,28.80833333,31.3,32.46666667
275,"KAMAS, UT US",29.775,27.26666667,29.91666667,29.84166667,29.2,29.68333333,32.21818182,30.20909091,32,31.46666667,27.95,32.79090909,29.29090909,31.25,29.95833333,28.53636364,30.17,29.33636364,29.57777778,27.66666667,31.04545455,30.25,31.83636364,34.79090909,32.51666667,32.15454545,32.23333333,30.5,31.04166667,32.725,30.48333333
276,"KANAB, UT US",40.41666667,39.625,41.025,39.975,39.9,39.34166667,38.50833333,38.7,40.81666667,39.725,38.6,40.3,39.30833333,40.4,40.35833333,39.20909091,39.6,39.875,40.76666667,39.77272727,41.425,39.71666667,41.75833333,41.80833333,42.10833333,40.52727273,42.39166667,40.60833333,41.25833333,41.94545455,40.99166667
342,"MANTI, UT US",35.725,33.51666667,36.175,35.69166667,35.8,34.94166667,35.80833333,35.65,36.93333333,35.34166667,31.96666667,33.68333333,32.525,36.625,33.32727273,33.86363636,31.70833333,34.2,35.55,31.775,33.425,32.11666667,37.43333333,37.575,35.61666667,37.45,37.65833333,35.2,36.55833333,37.68333333,35.64166667
401,"NEPHI, UT US",36.96666667,33.73333333,36,35.88333333,36.56666667,37.21666667,37.91666667,39.14545455,39.43333333,36.60833333,34.625,40.94166667,39.45,39.17272727,34.99,39.51666667,38.2,36.99166667,38.31666667,37.14166667,40.55833333,36.85833333,39.875,40.9,39.65833333,39.675,39.69166667,37.68333333,39.44545455,37.96363636,38.01666667
471,"PROVO BYU, UT US",40.26666667,37.9,40.95,40.46666667,40.69166667,40.91666667,41.825,41.75833333,42.55833333,42.5,40.25833333,43.06666667,41.60833333,42.325,41.61666667,41.29166667,39.825,40,41.74166667,40.53333333,43.06666667,39.86666667,42.64166667,43.81666667,43,43.45,43.30833333,41.43333333,42.30833333,43.5,41.5
482,"RICHMOND, UT US",33.91666667,31.61666667,36.15,35.925,34.98333333,34.51666667,36.13333333,35.06666667,36.15833333,33.33636364,33.01666667,37.7,37.49,35.5,36.46666667,36.75833333,34.56666667,33.3,35.34166667,35.225,37.88333333,34.30833333,36.58333333,38.40833333,33.77,36.04166667,37.34166667,34.93333333,36.05,37.95833333,34.64166667
509,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",41.725,39.25,42.73333333,42.06666667,42.225,41.83333333,42.6,41.85,42.94166667,42.85833333,40.625,44.03333333,41.725,42.53333333,42.58333333,42.125,40.6,41.19166667,42.01666667,41.34166667,45.175,42.68333333,44.55833333,45.75833333,45.675,45.675,45.69166667,43.65833333,44.71666667,45.44166667,45.125
596,"TOOELE, UT US",36.375,34.98333333,39.45833333,37.25,41.45833333,40.79166667,41.99166667,41.73333333,43.38333333,42.875,41.175,43.83333333,40.79166667,41.20833333,42.49166667,42.66666667,41.25833333,44.33636364,42.525,40.88333333,44.11666667,40.25833333,42.69166667,42.79166667,41.18333333,40.81666667,41.51666667,39.66666667,41.08333333,41.30833333,41.89166667
630,"WANSHIP DAM, UT US",29.2,26.66363636,28.51818182,27.31666667,30.10833333,30.06666667,30.9,28.46666667,28.98333333,28.52,30.86666667,32.48333333,34.37272727,32.80909091,31.76666667,31.275,29.63333333,30.99166667,32.29166667,31.55,34.375,31.23333333,31.98333333,32.725,31.70833333,31.41666667,31.38333333,29.56666667,29.925,32.14166667,31.01818182
652,"WOODRUFF, UT US",22.875,19.75833333,24.00833333,25.20833333,24.78333333,23.91666667,25.275,24.51666667,24.65454545,22.29166667,22.33333333,25.875,23.75,22.75,24.24545455,24.44166667,21.46666667,22.54545455,24.75,22.825,26.39166667,23.25,27.00833333,26.80833333,25.43333333,25.75833333,25.03333333,21.30833333,22.33636364,25.93333333,23.26666667
656,"ZION NATIONAL PARK, UT US",47.575,45.375,46.05833333,47.34166667,45.91666667,47.59166667,47.08333333,48.04166667,48.9,48.01666667,46.50833333,49.54166667,48.61666667,48.00833333,47.475,49.275,47.58333333,49.14545455,47.41818182,45.41666667,49.25,47.4,49.25833333,49.45,49.25833333,49.125,49.09166667,46.66666667,46.50833333,41.98,46.10833333
