,NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
275,KAMAS,45.10833333,42.03333333,45.33333333,44.75,45.68888889,44.45833333,46.45454545,45.25454545,46.75,42.87,43.1,48.58181818,44.06363636,46.25,45.63333333,45.05454545,46.26,45.08181818,44.56666667,41.51111111,45.93636364,44.54166667,45.5,48.79090909,45.925,45.57272727,46.05,43.575,45.55,46.45,44.31666667
276,KANAB,55.11666667,54.4,56.01666667,54.7,55.15833333,53.80833333,52.85833333,54.83333333,55.95,55.00833333,54.78333333,55.86666667,54.44166667,55.34166667,55.95,55.13636364,55.1,55.3,55.18333333,55.05454545,57.25,55.18333333,57.31666667,56.45833333,56.98333333,56.23636364,57.89166667,55.25833333,57.93333333,57.3,56.65833333
342,MANTI,48.73333333,46.16666667,49.14166667,48.90833333,49.34166667,47.76666667,48.30833333,49.5,50.04166667,48.625,45.65,46.95,45.5,50.1,46.98181818,47.87272727,45.40833333,47.75,48.19166667,44.63333333,46.53333333,44.50833333,50.21666667,50.29166667,48.25833333,50.55,50.56666667,47.89166667,50.24166667,50.70833333,48.90833333
401,NEPHI,52.16666667,46.94545455,51.74166667,51.375,51.675,50.16666667,50.95833333,54.07272727,52.63333333,50.41666667,49.38333333,53.74166667,51.89166667,51.32727273,47,52.14166667,50.22727273,49.11666667,49.875,48.7,52.79166667,48.55833333,51.89166667,52.63333333,51.575,51.86666667,51.80833333,49.93333333,53.32727273,50.61818182,50.975
471,PROVO_BYU,54.275,51.51666667,55.125,54.575,54.45833333,53.35833333,53.95,54.825,55.33333333,55.33333333,53.41666667,55.625,53.58333333,54.475,54.18333333,54.45833333,52.60833333,52.65833333,53.90833333,52.85,56.40833333,52.33333333,55.74166667,56.75,55.91666667,56.125,56.125,53.93333333,55.79166667,56.35,54.49166667
482,RICHMOND,48.29166667,44.8,50.14166667,49.25833333,48.85833333,47.76666667,48.69166667,49.2,49.825,46.96363636,46.65833333,50.925,50.74,47.9,48.7,49.475,46.93333333,45.17,47.05833333,46.64166667,51.08333333,46.64166667,49.30833333,50.79166667,45.53,48.18333333,49.325,46.29166667,48.58333333,50.19166667,47.14166667
509,SALT_LAKE_CITY_INTERNATIONAL_AIRPORT,53.6,50.175,54.51666667,53.825,54.19166667,53.29166667,52.81666667,53.15,53.65,53.68333333,51.85833333,54.84166667,52,53.25,53.68333333,53.74166667,51.89166667,52.05,52.60833333,51.68333333,56.50833333,53.225,55.525,56.26666667,56.20833333,56.09166667,56.15833333,53.50833333,55.625,56.175,55.76666667
596,TOOELE,50.85,47.73333333,52.4,52.13333333,53.32,52.425,52.64166667,53.88333333,55.025,54.64166667,53.16666667,55.54166667,52.375,53.05833333,54.075,54.65,52.70833333,55.46363636,53.06666667,51.63333333,55.15,50.68333333,53.99166667,54.16666667,53.125,52.66666667,53.23333333,50.775,53.25833333,53.975,53.61666667
630,WANSHIP_DAM,47.27,43.6,45.09090909,44.60833333,46.325,45.21666667,45.43333333,45.46666667,45.74166667,46.14,46.43333333,47.84166667,49.05454545,47.73636364,47.11666667,47.85,45.33333333,45.73333333,46.65,45.71666667,49.6,46.13333333,46.81666667,47.46666667,46.38333333,46.525,46.38333333,43.625,45.9,47.20833333,46.61818182
652,WOODRUFF,39.60833333,35.34166667,40.31666667,40.34166667,40.23333333,38.49166667,39.80833333,40.825,40.5,39.125,38.38333333,41.48333333,38.86666667,38.11666667,39.68181818,41.79166667,37.825,37.79090909,40.20833333,37.44166667,42.85,39.33333333,42.38333333,42.84166667,41.15833333,41.03333333,41.2,36.775,40.69090909,43.01666667,40.18333333
656,ZION_NATIONAL_PARK,61.875,60.00833333,61.36666667,61.95833333,61.90833333,61.825,60.3,61.57272727,63.375,62.825,62.14166667,63.65833333,62.55833333,61.96666667,62.34166667,64.15833333,62.19166667,63.43636364,61.68181818,60.84166667,64.6,62.55,64.225,62.41666667,62.25,63.01666667,63.24166667,60.53333333,62.61666667,57.24,61.03333333
